Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Formation of the HIV-1 Early Elongation Complex	R-HSA-167158	-0.5232391111480192	-4.665748560785805	3.074955319926076e-06	0.003588175353656691	0.00029955189741613186	13	GTF2H1,GTF2H5,NELFCD,CDK7,POLR2B,CCNH,ERCC3,MNAT1,POLR2F	NCBP1,ERCC3,MNAT1,SUPT4H1,CCNH,GTF2F1,CTDP1,ERCC2,POLR2I,GTF2H2,GTF2H4,GTF2H5,POLR2F,GTF2H1,SUPT5H,POLR2D,POLR2C,POLR2K,CDK7,NELFCD,POLR2H,POLR2E,POLR2A,GTF2F2,POLR2B,POLR2G,POLR2L,GTF2H3,NELFB,NELFE,NCBP2,POLR2J
Formation of the Early Elongation Complex	R-HSA-113418	-0.5232391111480192	-4.665748560785805	3.074955319926076e-06	0.003588175353656691	0.00029955189741613186	13	GTF2H1,GTF2H5,NELFCD,CDK7,POLR2B,CCNH,ERCC3,MNAT1,POLR2F	NCBP1,ERCC3,MNAT1,SUPT4H1,CCNH,GTF2F1,CTDP1,ERCC2,POLR2I,GTF2H2,GTF2H4,GTF2H5,POLR2F,GTF2H1,SUPT5H,POLR2D,POLR2C,POLR2K,CDK7,NELFCD,POLR2H,POLR2E,POLR2A,GTF2F2,POLR2B,POLR2G,POLR2L,GTF2H3,NELFB,NELFE,NCBP2,POLR2J
Formation of TC-NER Pre-Incision Complex	R-HSA-6781823	-0.4985564211701392	-4.6356343456054185	3.5584451898440506e-06	0.004151189720706388	0.00031998634053289964	16	UBA52,GTF2H1,GTF2H5,CDK7,POLR2B,CCNH,ERCC3,CUL4A,MNAT1,POLR2F	COPS2,ERCC3,UBB,MNAT1,XPA,CCNH,COPS3,AQR,ERCC2,POLR2I,COPS5,GTF2H2,PRPF19,GTF2H4,GTF2H5,POLR2F,ISY1,UBA52,COPS8,COPS7A,XAB2,GTF2H1,RPS27A,ZNF830,POLR2D,POLR2C,ERCC8,POLR2K,CDK7,TCEA1,GPS1,POLR2E,PPIE,POLR2H,CUL4A,POLR2A,DDB1,POLR2B,POLR2G,UVSSA,POLR2L,GTF2H3,COPS6,COPS4,UBC,COPS7B,USP7,POLR2J,CUL4B,RBX1
P2Y receptors	R-HSA-417957	-0.5598795602167773	-4.591036384008706	4.410504343077548e-06	0.005142622155318919	0.00034084080834495545	8	P2RY14,P2RY12,P2RY11,P2RY13,LPAR4	P2RY14,P2RY13,LPAR6,LPAR4,P2RY10,P2RY11,P2RY1,P2RY12,P2RY2,P2RY6,GPR17
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	R-HSA-83936	-0.6200483091787349	-4.579177037528546	4.668089676140852e-06	0.005442147138705695	0.00034084080834495545	5	SLC29A2,SLC28A2,SLC28A3,SLC29A3,SLC25A5	SLC28A2,SLC25A6,SLC25A6,SLC29A4,SLC28A1,SLC28A3,SLC25A5,SLC29A3,SLC25A4,ARL2,ARL2BP,SLC29A2
SIRT1 negatively regulates rRNA expression	R-HSA-427359	-0.5680025170012096	-4.578526292367234	4.682633131691816e-06	0.005459055849990027	0.00034084080834495545	7	TAF1A,TAF1B,H3-3A,H2AJ,H2BC1,SIRT1	H3C2,H2BC5,H2AC20,H4C13,H4C15,TAF1C,H4C14,H2BC9,SUV39H1,H3C6,H3C4,H4C4,H2BC8,H2AC18,H2BC21,H4C16,RRP8,H2AJ,H2BC3,H4C1,H2AB1,H4C12,H2BC6,H3C10,H2BC1,H2BC11,H2AC14,H3-3A,SIRT1,H3C15,H2BC13,H2BC17,H2BC14,H2AZ2,H2AC6,H2BC10,H2BC7,H4C2,H3C12,H2BC15,H2AX,TBP,H2AC4,H4C11,H3-3B,H4C9,H2BC12,H4C8,H2BC4,H4C5,H3C3,H3C7,H3C1,TAF1B,H2AC19,TAF1A,H2AC7,H3C13,H4C6,H2BC26,H2BC12L,H3C11,TAF1D,H3C14,H3C8,H2AC8
Presynaptic function of Kainate receptors	R-HSA-500657	-0.5172943078480633	-4.550189175370694	5.359770671731212e-06	0.00624600083660618	0.00034084080834495545	11	PLCB3,GNG4,GRIK3,GNG7,GNB1,GNB2,PLCB2,GNG2	GNG5,PLCB3,GNG3,GNG2,GNB2,GNG10,GNGT1,GNG7,GRIK3,GNG4,GNB5,GNGT2,GNG12,PLCB1,PLCB2,GNG13,GNB3,GNG11,GNG8,GNB1
Glycogen breakdown (glycogenolysis)	R-HSA-70221	-0.6125603864734236	-4.549486004669295	5.377711032483745e-06	0.006266842018783294	0.00034084080834495545	5	PYGM,GYG1,AKR1E2,PGM1,AGL	PGM1,PYGL,GYG1,AKR1E2,PHKG1,GAA,PHKA1,PYGB,AGL,PYGM,CALM1,PHKG2,GYG2,PHKA2
Regulation of cholesterol biosynthesis by SREBP (SREBF)	R-HSA-1655829	-0.5596037690263665	-4.5419474685990675	5.573693156124548e-06	0.006494484537073078	0.00034084080834495545	7	INSIG1,SREBF2,SEC24B,SEC24C	MBTPS2,INSIG2,SEC24D,MBTPS1,SEC24C,SAR1B,SREBF2,INSIG1,SEC24B,KPNB1,SCAP,RAN,SEC23A,SEC24A
GP1b-IX-V activation signalling	R-HSA-430116	-0.6071303229234407	-4.5279568248247415	5.955674622581952e-06	0.006938024369215057	0.00034084080834495545	5	COL1A2,RAF1,SRC,COL1A1	COL1A1,GP1BB,FLNA,GP9,VWF,YWHAZ,GP5,COL1A2,RAF1,GP1BA,SRC
CREB1 phosphorylation through the activation of Adenylate Cyclase	R-HSA-442720	-0.6056531883822227	-4.522100799111539	6.12288877266387e-06	0.00713212371283327	0.00034084080834495545	5	PRKAR1B,PRKX,CREB1	PRKAR1B,PRKACB,PRKACG,PRKAR2A,CREB1,PRKAR2B,PRKX,CALM1,ADCY1,PRKACA,PRKAR1A
Mitochondrial tRNA aminoacylation	R-HSA-379726	-0.5474909396740669	-4.48921205257883	7.148710776894163e-06	0.008322051174812405	0.0003504535792560988	7	AARS2,TARS2,NARS2,MARS2,CARS2	CARS2,GARS1,NARS2,AARS2,RARS2,DARS2,YARS2,PARS2,KARS1,TARS2,QARS1,WARS2,SARS2,FARS2,LARS2,EARS2,MARS2,PPA2,VARS2,HARS2
MTOR signalling	R-HSA-165159	-0.5369044033821373	-4.488705509234909	7.165727533786637e-06	0.008341778161456953	0.0003504535792560988	8	RRAGB,AKT1S1,RRAGC,RRAGA,MTOR,AKT1,RRAGD	LAMTOR3,RPTOR,AKT1S1,RRAGB,LAMTOR1,MTOR,LAMTOR5,RRAGC,RRAGD,RHEB,YWHAB,SLC38A9,RRAGA,LAMTOR4,MLST8,AKT1
Cytosolic sensors of pathogen-associated DNA	R-HSA-1834949	-0.5445809697058859	-4.47654865025125	7.5859387782539756e-06	0.008828791365369744	0.0003504535792560988	7	POLR3K,POLR3B,POLR3A,MRE11,XRCC6,POLR2F	XRCC6,MRE11,POLR3B,POLR2H,POLR2E,POLR3D,POLR3E,XRCC5,POLR3H,POLR3F,AIM2,POLR3C,POLR2F,POLR1C,PRKDC,CRCP,POLR2L,POLR3K,POLR1D,POLR3A,POLR3GL,POLR3G
Thromboxane signalling through TP receptor	R-HSA-428930	-0.5223209049687718	-4.470765391708086	7.794016030793216e-06	0.009069858671727141	0.0003504535792560988	9	GNA15,GNG4,GNG7,GNB1,GNAQ,GNB2,GNG2	TBXA2R,AAMP,GNA11,GNG5,GNG3,GNG2,GNA15,GNB2,GNG10,GNGT1,GNG7,GNA14,GNG4,GNB5,GNGT2,GNG12,GNA13,GNAQ,GNG13,GNB3,GNG11,GNG8,GNB1
G beta:gamma signalling through PI3Kgamma	R-HSA-392451	-0.4896198476972874	-4.470751583751621	7.794519299109126e-06	0.009070441660775669	0.0003504535792560988	12	AKT2,GNG4,GNG7,AKT1,GNG2	GNG5,GNG3,GNG2,PIK3R6,RHOA,PIK3CG,AKT2,AKT3,GNB2,GNG10,PDPK1,GNGT1,GNG7,GNG4,GNB5,GNGT2,GNG12,PIK3R5,GNG13,GNB3,GNG11,AKT1,GNG8,GNB1
G beta:gamma signalling through PLC beta	R-HSA-418217	-0.5053931989621949	-4.441848468939387	8.918936262869437e-06	0.010372117709527442	0.0003711684168392478	10	PLCB3,GNG4,GNG7,GNB1,GNB2,PLCB2,GNG2	GNG5,PLCB3,GNG3,GNG2,GNB2,GNG10,GNGT1,GNG7,GNG4,GNB5,GNGT2,GNG12,PLCB1,PLCB2,GNG13,GNB3,GNG11,GNG8,GNB1
RNA Polymerase III Transcription Initiation From Type 1 Promoter	R-HSA-76061	-0.5234206184628029	-4.428721290646145	9.479342555573922e-06	0.011020231380688932	0.0003711684168392478	8	GTF3A,POLR3K,GTF3C2,POLR3A,GTF3C6,POLR2F	POLR3E,POLR3H,GTF3A,POLR3C,POLR2F,CRCP,POLR1D,TBP,POLR3A,BDP1,GTF3C5,BRF1,POLR2K,GTF3C3,POLR2H,GTF3C4,POLR2E,POLR3D,POLR3F,POLR1C,POLR2L,POLR3K,GTF3C2,POLR3GL,GTF3C1,POLR3G,GTF3C6
RNA Polymerase III Transcription Initiation From Type 2 Promoter	R-HSA-76066	-0.5234206184628029	-4.428721290646145	9.479342555573922e-06	0.011020231380688932	0.0003711684168392478	8	POLR3K,GTF3C2,POLR3B,POLR3A,GTF3C6,POLR2F	GTF3C6,POLR2K,POLR3B,GTF3C3,POLR2H,GTF3C4,POLR2E,POLR3D,POLR3E,POLR3H,POLR3F,POLR3C,POLR2F,POLR1C,CRCP,POLR2L,POLR3K,POLR1D,GTF3C2,TBP,POLR3A,POLR3GL,BDP1,GTF3C1,POLR3G,GTF3C5
GABA receptor activation	R-HSA-977443	-0.6543060756130736	-4.427678353617304	9.525280158406702e-06	0.011073339718971316	0.0003711684168392478	6	GABRB2,GABRG2,GABRA1,GABRB1,NPTN,GABRA2	GABRA6,GABRA3,GABRA2,GABRB2,GABRB3,GABRA1,GABRR3,GABRR2,GABRR1,GABRG3,NPTN,ARHGEF9,GABRQ,GABRG2,GABRA5,GABRB1
Prednisone ADME	R-HSA-9757110	-0.578962367126172	-4.416369542914717	1.0037243131311158e-05	0.011665025921929207	0.00037850120066137884	5	UGT1A3,HSD11B1,UGT2B7	ALB,HSD11B2,AKR1C1,HSD11B1,UGT1A3,SERPINA6,CYP3A4,UGT2B17,UGT2B7
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	R-HSA-427389	-0.4857782006775359	-4.399516173614142	1.0849249174604836e-05	0.012602752795790522	0.00038129640876838344	11	RBBP7,HDAC2,GATAD2B,H3-3A,H2AJ,H2BC1,ERCC6	ERCC6,H4C3,H3C2,H2BC5,H2AC20,CHD4,HDAC2,H4C13,H4C15,MTA2,H4C14,H2BC9,MBD3,MTA3,CBX3,H3C6,H3C4,H4C4,H2BC8,H2AC18,H2BC21,H4C16,H2AJ,H2BC3,H4C1,H2AB1,H4C12,EHMT2,H2BC6,H3C10,H2BC1,H2BC11,H2AC14,HDAC1,H3-3A,H3C15,RBBP7,RBBP4,H2BC13,CHD3,H2BC17,GATAD2B,H2BC14,H2AZ2,H2AC6,H2BC10,H2BC7,H4C2,H3C12,H2BC15,H2AX,H2AC4,H4C11,H3-3B,H4C9,H2BC12,H4C8,H2BC4,H4C5,H3C3,H3C7,H3C1,TTF1,H2AC19,H2AC7,MTA1,H4C6,H3C13,H2BC26,H2BC12L,H3C11,H3C14,H3C8,H2AC8
Assembly of the ORC complex at the origin of replication	R-HSA-68616	-0.5167123341889206	-4.398913903392711	1.0879397336127639e-05	0.012637551600114242	0.00038129640876838344	8	ORC2,H3-3A,H2AJ,H2BC1,ORC5	KPNA1,H4C3,H3C2,ORC1,KPNA6,H2BC5,H2AC20,H4C13,H4C15,H4C14,H2BC9,H3C6,H3C4,H4C4,H2BC8,H2AC18,H2BC21,H4C16,ORC6,H2AJ,H2BC3,H4C1,H2AB1,H4C12,H2BC6,H3C10,H2BC1,H2BC11,H2AC14,H3-3A,H3C15,H2BC13,H2BC17,H2BC14,H2AZ2,H2AC6,H2BC10,H2BC7,H4C2,H3C12,H2BC15,KPNB1,H2AX,H2AC4,H4C11,H3-3B,H4C9,H2BC12,H4C8,ORC3,H4C5,H3C3,H2BC4,H3C7,H3C1,H2AC19,ORC4,H2AC7,H3C13,H4C6,H2BC26,H2BC12L,H3C11,ORC2,H3C14,H3C8,ORC5
WNT5:FZD7-mediated leishmania damping	R-HSA-9673324	-0.5697156940798461	-4.379800398059391	1.1878806539300513e-05	0.013790435913705113	0.00038129640876838344	5	RAC1,CYBA,JUN	CYBA,RAC1,NOX1,MAPK8,DVL1,DVL3,WNT5A,NOXO1,JUN,FZD7,NOXA1
Ephrin signaling	R-HSA-3928664	-0.5221551099299647	-4.37908347863239	1.1917947594808354e-05	0.013835560318417005	0.00038129640876838344	7	RAC1,EFNB2,SRC,SDCBP	SDCBP,RAC1,EPHB6,EFNB1,GIT1,EPHB4,ARHGEF7,PAK1,EFNB2,FYN,EPHB3,PAK2,EFNB3,PAK3,MYL12A,EPHB1,SRC,EPHB2
ADP signalling through P2Y purinoceptor 12	R-HSA-392170	-0.48121228388375	-4.377741714189786	1.1991533803934473e-05	0.013920389795912588	0.00038129640876838344	11	GNG4,GNG7,P2RY12,GNB1,GNB2,GNAI2,GNAT3,GNG2,GNB4	GNB4,GNAI2,GNG5,GNG3,GNG2,P2RY12,GNB2,GNG10,GNGT1,GNAT3,GNG7,GNG4,GNB5,GNGT2,GNG12,GNAI1,GNG13,GNB3,GNG11,GNG8,GNB1
Passive transport by Aquaporins	R-HSA-432047	-0.568842270492094	-4.376348392005918	1.2068406436638313e-05	0.014009000044615043	0.00038129640876838344	5	AQP7,AQP3,AQP2,AQP10	AQP9,AQP10,AQP7,AQP2,AQP8,AQP5,AQP11,AQP3,AQP6,MIP,AQP1,AQP12A
mTORC1-mediated signalling	R-HSA-166208	-0.486065741117472	-4.351894866415765	1.3496598127993309e-05	0.015653814907955022	0.00041519797925326785	10	RRAGB,AKT1S1,RRAGC,RRAGA,MTOR,EIF4G1,EIF4E,RRAGD	LAMTOR2,LAMTOR3,RPTOR,AKT1S1,RRAGB,LAMTOR1,RPS6KB1,EIF4G1,MTOR,EIF4EBP1,LAMTOR5,RRAGC,RRAGD,RHEB,EEF2K,RPS6,YWHAB,SLC38A9,EIF4E,RRAGA,LAMTOR4,FKBP1A,MLST8
LGI-ADAM interactions	R-HSA-5682910	-0.6294138449367164	-4.339899978806214	1.4254758362364228e-05	0.01652585601577917	0.0004272772442462509	6	ADAM22,CACNG2,LGI3,STX1B	ADAM22,LGI3,CACNG8,CACNG2,STX1B,CACNG3,LGI4,STX1A,ADAM23,LGI1,DLG4,LGI2,ADAM11
Atorvastatin ADME	R-HSA-9754706	-0.5563654848725537	-4.3270873272375905	1.510940686810791e-05	0.01750795313768337	0.0004340644725967973	5	PON1,UGT1A3,SLCO1B3	SLCO1B1,SLCO1B3,PON1,UGT1A3,CYP3A4,PON3,SLCO2B1,ABCC2
Co-stimulation by ICOS	R-HSA-9927354	-0.5097766282569516	-4.325424824802265	1.522381811502882e-05	0.017639351459166206	0.0004340644725967973	7	ICOSLG,PIK3CA,PIK3CD	PIK3CD,PIK3R2,PIK3R5,PIK3CB,PIK3CA,PIK3R6,PIK3CG,PIK3R3,ICOSLG,ICOS
Synthesis of very long-chain fatty acyl-CoAs	R-HSA-75876	-0.46672333440657376	-4.308788030769325	1.641515977435226e-05	0.019006533299981306	0.0004568886137194713	11	HACD2,SLC27A3,TECRL,ACSL1,ELOVL3,ELOVL4,ELOVL6,ACSL5	ELOVL7,HACD3,TECRL,SLC27A3,ELOVL1,TECR,ELOVL4,HSD17B12,ELOVL3,HACD2,ACSL1,HACD1,ELOVL6,ACSF3,ACSBG2,ACSL5,ACSL4,ELOVL5,HSD17B3,ACSBG1,HACD4,ACSL3,ELOVL2
Serotonin receptors	R-HSA-390666	-0.549853381750216	-4.3014193032782755	1.697075783080315e-05	0.01964348655774319	0.000461367811725788	5	HTR6,HTR4,HTR7,HTR5A	HTR1B,HTR2B,HTR1D,HTR4,HTR6,HTR2A,HTR1E,HTR5A,HTR1F,HTR7,HTR2C
AKT phosphorylates targets in the nucleus	R-HSA-198693	-0.5465022133568685	-4.288223686401892	1.8010766839715586e-05	0.020834671701182934	0.00047851332808244366	5	AKT2,CREB1,AKT1	FOXO6,CREB1,RPS6KB2,FOXO4,AKT2,AKT3,FOXO3,AKT1,NR4A1
Transport of RCbl within the body	R-HSA-9758890	-0.5439141034428489	-4.278039367375307	1.8854668113021944e-05	0.021800179928852272	0.0004898023783138368	5	LDLRAP1,ABCD4	ABCC1,LRP2,LDLRAP1,ABCD4,CD320,TCN2,LMBRD1
"""GABA synthesis, release, reuptake and degradation"	R-HSA-888590	-0.495530321333675	-4.263847899338804	2.009362497013001e-05	0.0232159484757587	0.0005106401650017821	7	CPLX1,RIMS1,GAD1,SLC32A1,DNAJC5,GAD2,VAMP2	"CPLX1,HSPA8,GAD2,STX1A,VAMP2,SLC32A1,SNAP25,DNAJC5,RAB3A,RIMS1,GAD1,STXBP1"""
mRNA Splicing - Minor Pathway	R-HSA-72165	-0.4559544237201521	-4.257713007860215	2.0652884398231208e-05	0.023854349056029463	0.0005136855715219635	11	SRSF6,POLR2B,SF3B4,RNPC3,ZCRB1,SNRPD2,POLR2F	NCBP1,SRSF2,SF3B2,SF3B4,GTF2F1,SNRNP35,SNRPF,POLR2I,SNRNP200,SNRNP25,PRPF8,POLR2F,TXNL4A,PDCD7,PRPF6,DDX23,POLR2D,SRSF6,SF3B5,SF3B1,POLR2C,YBX1,SRSF1,POLR2K,SNRPE,RNPC3,SF3B3,SF3B6,POLR2E,POLR2H,DDX42,POLR2A,SRSF7,GTF2F2,SNRNP48,SNRPD2,POLR2B,POLR2G,SNRPD1,ZCRB1,SNRNP40,POLR2L,SNRPB,SNRPD3,ZMAT5,ZRSR2,NCBP2,SNRPG,POLR2J
G beta:gamma signalling through BTK	R-HSA-8964315	-0.49041258505827673	-4.241784496697175	2.2174956607168284e-05	0.025589700213039822	0.0005321771208225888	7	GNG4,GNG7,GNB1,GNB2,GNG2	GNG5,GNG3,GNG2,BTK,GNB2,GNG10,GNGT1,GNG7,GNG4,GNB5,GNGT2,GNG12,GNG13,GNB3,GNG11,GNG8,GNB1
Interconversion of nucleotide di- and triphosphates	R-HSA-499943	-0.471535593454316	-4.240453892440909	2.2306825423701326e-05	0.025739901851556446	0.0005321771208225888	9	NUDT13,AK4,RRM2B,TXNRD1,TXN	CTPS2,AK1,AK5,NME1,AK8,AK2,AK6,RRM2,RRM2B,NME4,RRM1,DTYMK,TXN,NME2,AK7,TYMS,TXNRD1,GLRX,CTPS1,DCTPP1,DUT,AK4,GSR,NME3,NUDT13,CMPK1,GUK1,AK9
Formation of ATP by chemiosmotic coupling	R-HSA-163210	-0.47972663935120746	-4.2352760260651285	2.282711291101691e-05	0.026332295700754505	0.0005336978998595754	8	ATP5MC1,ATP5MK,ATP5F1D,ATP5PO,ATP5F1B	ATP5PB,ATP5MJ,MT-ATP6,ATP5ME,DMAC2L,ATP5MK,ATP5F1D,ATP5MC1,MT-ATP8,ATP5PD,ATP5F1C,ATP5F1B,ATP5PO,ATP5MF,ATP5F1A,ATP5MC3,ATP5MG,ATP5F1E,ATP5PF
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	R-HSA-1362300	-0.5975399421910421	-4.228029588022488	2.357467958735704e-05	0.027182837241565797	0.0005403686360317721	6	CDK1,TFDP2,LIN54,E2F1	LIN54,RBL2,RBL1,CCNA2,TFDP1,E2F5,TFDP2,HDAC1,LIN9,MYBL2,CDK1,LIN52,RBBP4,LIN37,E2F1
p38MAPK events	R-HSA-171007	-0.5260512032563248	-4.20792943302813	2.577213161703007e-05	0.029678685324170256	0.0005669621392951462	5	KRAS,SRC,MAPKAPK2,RALGDS	NRAS,HRAS,MAPKAPK2,MAPKAPK3,MAPK14,RALGDS,MAPK12,MAPK11,MAPK13,KRAS,RALA,SRC
Cyclin A/B1/B2 associated events during G2/M transition	R-HSA-69273	-0.43010749870964493	-4.2036520994779805	2.6264252191099402e-05	0.030236754434568344	0.0005669621392951462	13	CDK1,PPP2R1B,BORA,MNAT1,PPP2R2A,CCNH,CDC25A,XPO1,CDK7,OBI1,PPP2CA	FOXM1,PPP2R2A,MNAT1,CDK2,CCNB2,PPME1,CCNH,PPP2R3B,PKMYT1,CCNA2,MIS18BP1,CDC25A,TICRR,BORA,CCNA1,FZR1,CDK1,PPP2R1A,CDK7,CDC25C,PPP2CB,PPP2R3B,WEE1,XPO1,PPP2R1B,SGO1,PPP2CA,LCMT1,CDC25B,OBI1,CCNB1,HJURP
Tat-mediated elongation of the HIV-1 transcript	R-HSA-167246	-0.4177241767780553	-4.190475141395633	2.7837091269411474e-05	0.032018218486831264	0.0005669621392951462	15	GTF2H1,GTF2H5,NELFCD,CDK7,POLR2B,ELOA,CCNH,ERCC3,MNAT1,POLR2F	ERCC3,MNAT1,SUPT4H1,CCNH,GTF2F1,CTDP1,ERCC2,POLR2I,GTF2H2,GTF2H4,GTF2H5,POLR2F,ELL,SSRP1,GTF2H1,ELOC,SUPT16H,SUPT5H,ELOA,ELOB,POLR2D,POLR2C,POLR2K,CDK7,NELFCD,TCEA1,POLR2H,POLR2E,CDK9,POLR2A,GTF2F2,POLR2B,ELOA2,POLR2G,POLR2L,GTF2H3,NELFB,NELFE,CCNT1,POLR2J
Formation of HIV elongation complex in the absence of HIV Tat	R-HSA-167152	-0.4177241767780553	-4.190475141395633	2.7837091269411474e-05	0.032018218486831264	0.0005669621392951462	15	GTF2H1,GTF2H5,NELFCD,CDK7,POLR2B,ELOA,CCNH,ERCC3,MNAT1,POLR2F	NCBP1,ERCC3,MNAT1,SUPT4H1,CCNH,GTF2F1,CTDP1,ERCC2,POLR2I,GTF2H2,GTF2H4,GTF2H5,POLR2F,ELL,SSRP1,GTF2H1,ELOC,SUPT16H,SUPT5H,ELOA,POLR2D,ELOB,POLR2C,POLR2K,NELFCD,TCEA1,CDK7,POLR2E,POLR2H,CDK9,POLR2A,GTF2F2,POLR2B,ELOA2,POLR2G,POLR2L,CCNK,GTF2H3,NELFB,CCNT1,NELFE,NCBP2,CCNT2,POLR2J
