approvedSymbol	geneId	ID	Term	uniqueDiseases
ACE2	ENSG00000130234	R-HSA-2022377;R-HSA-1643685	Metabolism of Angiotensinogen to Angiotensins;Disease	1
ACKR1	ENSG00000213088	R-HSA-162582	Signal Transduction	4
ACO1	ENSG00000122729	R-HSA-917937	Iron uptake and transport	2
ACO2	ENSG00000100412	R-HSA-9854311;R-HSA-71403	Maturation of TCA enzymes and regulation of TCA cycle;Citric acid cycle (TCA cycle)	1
ACOT2	ENSG00000119673	R-HSA-9033241	Peroxisomal protein import	1
ACOX3	ENSG00000087008	R-HSA-9033241	Peroxisomal protein import	2
ACP3	ENSG00000014257	R-HSA-168256	Immune System	2
ACSF3	ENSG00000176715	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	5
ACSL1	ENSG00000151726	R-HSA-75876;R-HSA-74160;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Gene expression (Transcription);Fatty acyl-CoA biosynthesis	2
ACSL5	ENSG00000197142	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	1
ACSL6	ENSG00000164398	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	3
ACTA2	ENSG00000107796	R-HSA-162582	Signal Transduction	2
ACTB	ENSG00000075624	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-597592	Signal Transduction;Immune System;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Post-translational protein modification	5
ACTC1	ENSG00000159251	R-HSA-162582	Signal Transduction	1
ACTG1	ENSG00000184009	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685;R-HSA-445095;R-HSA-437239;R-HSA-3928665;R-HSA-157858;R-HSA-190828;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Immune System;Developmental Biology;Disease;Interaction between L1 and Ankyrins;Recycling pathway of L1;EPH-ephrin mediated repulsion of cells;Gap junction trafficking and regulation;Gap junction trafficking;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1
ACTN1	ENSG00000072110	R-HSA-162582;R-HSA-9706574	Signal Transduction;RHOBTB GTPase Cycle	5
ACTN2	ENSG00000077522	R-HSA-162582	Signal Transduction	2
ACTR1A	ENSG00000138107	R-HSA-168256;R-HSA-8856688;R-HSA-597592	Immune System;Golgi-to-ER retrograde transport;Post-translational protein modification	4
ACTR1B	ENSG00000115073	R-HSA-168256	Immune System	2
ACTR2	ENSG00000138071	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685	Signal Transduction;Immune System;Developmental Biology;Disease	6
ACTR5	ENSG00000101442	R-HSA-597592	Post-translational protein modification	2
ACVR1B	ENSG00000135503	R-HSA-162582;R-HSA-1266738	Signal Transduction;Developmental Biology	2
ACVR1C	ENSG00000123612	R-HSA-162582;R-HSA-1266738;R-HSA-1433617	Signal Transduction;Developmental Biology;Regulation of signaling by NODAL	2
ACVR2A	ENSG00000121989	R-HSA-162582;R-HSA-1266738;R-HSA-1433617	Signal Transduction;Developmental Biology;Regulation of signaling by NODAL	5
ACVR2B	ENSG00000114739	R-HSA-162582;R-HSA-1266738;R-HSA-1433617	Signal Transduction;Developmental Biology;Regulation of signaling by NODAL	2
ACVRL1	ENSG00000139567	R-HSA-162582	Signal Transduction	1
ADA	ENSG00000196839	R-HSA-1643685	Disease	1
ADAM10	ENSG00000137845	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685;R-HSA-3928665;R-HSA-9006934;R-HSA-5663202;R-HSA-597592	Signal Transduction;Immune System;Developmental Biology;Disease;EPH-ephrin mediated repulsion of cells;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers;Post-translational protein modification	4
ADAM12	ENSG00000148848	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1
ADAM21	ENSG00000139985	R-HSA-2534343;R-HSA-1187000	Interaction With Cumulus Cells And The Zona Pellucida;Fertilization	1
ADAM22	ENSG00000008277	R-HSA-5682910;R-HSA-1266738	LGI-ADAM interactions;Developmental Biology	1
ADAM23	ENSG00000114948	R-HSA-5682910;R-HSA-1266738	LGI-ADAM interactions;Developmental Biology	3
ADAM30	ENSG00000134249	R-HSA-2534343;R-HSA-1187000	Interaction With Cumulus Cells And The Zona Pellucida;Fertilization	5
ADAMTS1	ENSG00000154734	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
ADAMTS10	ENSG00000142303	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2
ADAMTS14	ENSG00000138316	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
ADAMTS16	ENSG00000145536	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	14
ADAMTS17	ENSG00000140470	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2
ADAMTS18	ENSG00000140873	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	3
ADAMTS19	ENSG00000145808	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
ADAMTS20	ENSG00000173157	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
ADAMTS3	ENSG00000156140	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	6
ADAMTS4	ENSG00000158859	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
ADAMTS5	ENSG00000154736	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	5
ADAMTS6	ENSG00000049192	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	6
ADAMTS7	ENSG00000136378	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	17
ADAMTS8	ENSG00000134917	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	9
ADAMTS9	ENSG00000163638	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	15
ADAMTSL1	ENSG00000178031	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	5
ADAMTSL2	ENSG00000197859	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	4
ADAMTSL3	ENSG00000156218	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	11
ADAMTSL4	ENSG00000143382	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	6
ADAP1	ENSG00000105963	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	6
ADAR	ENSG00000160710	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	4
ADCY1	ENSG00000164742	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	2
ADCY10	ENSG00000143199	R-HSA-162582	Signal Transduction	1
ADCY2	ENSG00000078295	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	8
ADCY3	ENSG00000138031	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	10
ADCY4	ENSG00000129467	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	1
ADCY5	ENSG00000173175	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	14
ADCY7	ENSG00000121281	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	11
ADCY8	ENSG00000155897	R-HSA-162582;R-HSA-442720;R-HSA-1643685	Signal Transduction;CREB1 phosphorylation through the activation of Adenylate Cyclase;Disease	3
ADCY9	ENSG00000162104	R-HSA-162582;R-HSA-1643685	Signal Transduction;Disease	9
ADCYAP1	ENSG00000141433	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1
ADD3	ENSG00000148700	R-HSA-162582;R-HSA-5223345	Signal Transduction;Miscellaneous transport and binding events	3
ADGRE3	ENSG00000131355	R-HSA-162582;R-HSA-168256	Signal Transduction;Immune System	1
ADGRG3	ENSG00000182885	R-HSA-168256	Immune System	1
ADGRG6	ENSG00000112414	R-HSA-1266738	Developmental Biology	3
ADGRV1	ENSG00000164199	R-HSA-1266738	Developmental Biology	7
ADH1A	ENSG00000187758	R-HSA-162582	Signal Transduction	1
ADH1C	ENSG00000248144	R-HSA-162582	Signal Transduction	7
ADK	ENSG00000156110	R-HSA-8956321;R-HSA-15869	Nucleotide salvage;Metabolism of nucleotides	5
ADM	ENSG00000148926	R-HSA-162582	Signal Transduction	13
ADORA1	ENSG00000163485	R-HSA-162582	Signal Transduction	6
ADRA1B	ENSG00000170214	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	1
ADRA1D	ENSG00000171873	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	1
ADRA2A	ENSG00000150594	R-HSA-162582;R-HSA-390696;R-HSA-5683826;R-HSA-375280;R-HSA-400042	Signal Transduction;Adrenoceptors;Surfactant metabolism;Amine ligand-binding receptors;Adrenaline,noradrenaline inhibits insulin secretion	4
ADRA2B	ENSG00000274286	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	1
ADRB1	ENSG00000043591	R-HSA-162582;R-HSA-390696;R-HSA-375280	Signal Transduction;Adrenoceptors;Amine ligand-binding receptors	4
AEBP2	ENSG00000139154	R-HSA-74160	Gene expression (Transcription)	3
AFF4	ENSG00000072364	R-HSA-73857;R-HSA-74160	RNA Polymerase II Transcription;Gene expression (Transcription)	3
AGA	ENSG00000038002	R-HSA-168256	Immune System	1
AGBL1	ENSG00000273540	R-HSA-597592	Post-translational protein modification	5
AGBL2	ENSG00000165923	R-HSA-8955332;R-HSA-597592	Carboxyterminal post-translational modifications of tubulin;Post-translational protein modification	5
AGBL4	ENSG00000186094	R-HSA-8955332;R-HSA-597592	Carboxyterminal post-translational modifications of tubulin;Post-translational protein modification	4
AGGF1	ENSG00000164252	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	1
AGL	ENSG00000162688	R-HSA-168256	Immune System	1
AGMAT	ENSG00000116771	R-HSA-351202	Metabolism of polyamines	2
AGO1	ENSG00000092847	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-5578749;R-HSA-211000;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Transcriptional regulation by small RNAs;Gene Silencing by RNA;Diseases of signal transduction by growth factor receptors and second messengers	1
AGO2	ENSG00000123908	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-203927;R-HSA-1643685;R-HSA-5578749;R-HSA-211000;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);MicroRNA (miRNA) biogenesis;Disease;Transcriptional regulation by small RNAs;Gene Silencing by RNA;Diseases of signal transduction by growth factor receptors and second messengers	8
AGO4	ENSG00000134698	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-203927;R-HSA-1643685;R-HSA-211000;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);MicroRNA (miRNA) biogenesis;Disease;Gene Silencing by RNA;Diseases of signal transduction by growth factor receptors and second messengers	1
AGPAT3	ENSG00000160216	R-HSA-1483166;R-HSA-8856688	Synthesis of PA;Golgi-to-ER retrograde transport	1
AGPAT4	ENSG00000026652	R-HSA-1483166	Synthesis of PA	3
AGPS	ENSG00000018510	R-HSA-9033241	Peroxisomal protein import	1
AGT	ENSG00000135744	R-HSA-162582;R-HSA-2022377	Signal Transduction;Metabolism of Angiotensinogen to Angiotensins	2
AGTR1	ENSG00000144891	R-HSA-162582	Signal Transduction	1
AGTR2	ENSG00000180772	R-HSA-162582	Signal Transduction	3
AHSG	ENSG00000145192	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1
AIMP1	ENSG00000164022	R-HSA-379724;R-HSA-1266738;R-HSA-379716;R-HSA-72766	tRNA Aminoacylation;Developmental Biology;Cytosolic tRNA aminoacylation;Translation	2
AJUBA	ENSG00000129474	R-HSA-1266738;R-HSA-74160;R-HSA-1234176	Developmental Biology;Gene expression (Transcription);Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	2
AK4	ENSG00000162433	R-HSA-499943;R-HSA-15869	Interconversion of nucleotide di- and triphosphates;Metabolism of nucleotides	1
AK5	ENSG00000154027	R-HSA-499943;R-HSA-15869	Interconversion of nucleotide di- and triphosphates;Metabolism of nucleotides	5
AKAP1	ENSG00000121057	R-HSA-8949215	Mitochondrial calcium ion transport	1
AKAP12	ENSG00000131016	R-HSA-162582	Signal Transduction	7
AKAP13	ENSG00000170776	R-HSA-162582	Signal Transduction	10
AKAP9	ENSG00000127914	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	1
AKR1A1	ENSG00000117448	R-HSA-156580	Phase II - Conjugation of compounds	1
AKR1C1	ENSG00000187134	R-HSA-9757110;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Prednisone ADME;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	2
AKR1C2	ENSG00000151632	R-HSA-193775;R-HSA-192105;R-HSA-8957322;R-HSA-194068	Synthesis of bile acids and bile salts via 24-hydroxycholesterol;Synthesis of bile acids and bile salts;Metabolism of steroids;Bile acid and bile salt metabolism	1
AKR1E2	ENSG00000165568	R-HSA-8982491	Glycogen metabolism	2
AKT1	ENSG00000142208	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-449147;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Interleukins;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1
AKT1S1	ENSG00000204673	R-HSA-162582;R-HSA-1643685;R-HSA-165159;R-HSA-5663202	Signal Transduction;Disease;MTOR signalling;Diseases of signal transduction by growth factor receptors and second messengers	1
AKT2	ENSG00000105221	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-392451;R-HSA-8941332;R-HSA-1643685;R-HSA-397795;R-HSA-165159;R-HSA-9007101;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);G beta:gamma signalling through PI3Kgamma;RUNX2 regulates genes involved in cell migration;Disease;G-protein beta:gamma signalling;MTOR signalling;Rab regulation of trafficking;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1
AKT3	ENSG00000117020	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-392451;R-HSA-8941332;R-HSA-1643685;R-HSA-397795;R-HSA-9007101;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);G beta:gamma signalling through PI3Kgamma;RUNX2 regulates genes involved in cell migration;Disease;G-protein beta:gamma signalling;Rab regulation of trafficking;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	6
ALAS1	ENSG00000023330	R-HSA-189451	Heme biosynthesis	3
ALCAM	ENSG00000170017	R-HSA-1266738	Developmental Biology	4
ALDH1A2	ENSG00000128918	R-HSA-162582	Signal Transduction	12
ALDH8A1	ENSG00000118514	R-HSA-162582	Signal Transduction	4
ALG10	ENSG00000139133	R-HSA-597592	Post-translational protein modification	2
ALG10B	ENSG00000175548	R-HSA-597592	Post-translational protein modification	2
ALG11	ENSG00000253710	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2
ALG12	ENSG00000182858	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1
ALG2	ENSG00000119523	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	2
ALK	ENSG00000171094	R-HSA-162582;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1
ALOX15	ENSG00000161905	R-HSA-1280215;R-HSA-168256;R-HSA-2142691;R-HSA-449147;R-HSA-2142753;R-HSA-6785807	Cytokine Signaling in Immune system;Immune System;Synthesis of Leukotrienes (LT) and Eoxins (EX);Signaling by Interleukins;Arachidonate metabolism;Interleukin-4 and Interleukin-13 signaling	9
ALOX5	ENSG00000012779	R-HSA-1280215;R-HSA-168256;R-HSA-2142691;R-HSA-449147;R-HSA-2142753;R-HSA-6785807	Cytokine Signaling in Immune system;Immune System;Synthesis of Leukotrienes (LT) and Eoxins (EX);Signaling by Interleukins;Arachidonate metabolism;Interleukin-4 and Interleukin-13 signaling	1
ALOX5AP	ENSG00000132965	R-HSA-2142691;R-HSA-2142753	Synthesis of Leukotrienes (LT) and Eoxins (EX);Arachidonate metabolism	3
ALPG	ENSG00000163286	R-HSA-597592	Post-translational protein modification	1
ALPI	ENSG00000163295	R-HSA-1483166;R-HSA-597592	Synthesis of PA;Post-translational protein modification	1
ALPK1	ENSG00000073331	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	1
ALPL	ENSG00000162551	R-HSA-597592	Post-translational protein modification	6
ALS2	ENSG00000003393	R-HSA-162582;R-HSA-9007101	Signal Transduction;Rab regulation of trafficking	2
ALX3	ENSG00000156150	R-HSA-1266738	Developmental Biology	2
AMELX	ENSG00000125363	R-HSA-597592	Post-translational protein modification	3
AMFR	ENSG00000159461	R-HSA-597592	Post-translational protein modification	2
AMN	ENSG00000166126	R-HSA-1643685	Disease	5
AMOTL1	ENSG00000166025	R-HSA-162582	Signal Transduction	3
AMPD3	ENSG00000133805	R-HSA-168256;R-HSA-8956321;R-HSA-15869	Immune System;Nucleotide salvage;Metabolism of nucleotides	3
AMTN	ENSG00000187689	R-HSA-597592	Post-translational protein modification	1
AMY1A	ENSG00000237763	R-HSA-8963743;R-HSA-8935690	Digestion and absorption;Digestion	2
ANAPC1	ENSG00000153107	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	10
ANAPC16	ENSG00000166295	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	1
ANAPC4	ENSG00000053900	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	16
ANGPT1	ENSG00000154188	R-HSA-162582	Signal Transduction	5
ANGPTL3	ENSG00000132855	R-HSA-162582;R-HSA-8963899	Signal Transduction;Plasma lipoprotein remodeling	9
ANGPTL4	ENSG00000167772	R-HSA-1266738;R-HSA-74160;R-HSA-8963899	Developmental Biology;Gene expression (Transcription);Plasma lipoprotein remodeling	12
ANK1	ENSG00000029534	R-HSA-1266738;R-HSA-445095;R-HSA-597592	Developmental Biology;Interaction between L1 and Ankyrins;Post-translational protein modification	3
ANK2	ENSG00000145362	R-HSA-1266738;R-HSA-445095;R-HSA-597592	Developmental Biology;Interaction between L1 and Ankyrins;Post-translational protein modification	1
ANK3	ENSG00000151150	R-HSA-1266738;R-HSA-445095;R-HSA-597592	Developmental Biology;Interaction between L1 and Ankyrins;Post-translational protein modification	3
ANKH	ENSG00000154122	R-HSA-5223345	Miscellaneous transport and binding events	6
ANKRD27	ENSG00000105186	R-HSA-9007101	Rab regulation of trafficking	1
ANKRD28	ENSG00000206560	R-HSA-597592	Post-translational protein modification	2
ANLN	ENSG00000011426	R-HSA-162582	Signal Transduction	1
ANO1	ENSG00000131620	R-HSA-1643685	Disease	6
ANO10	ENSG00000160746	R-HSA-1643685;R-HSA-2672351	Disease;Stimuli-sensing channels	5
ANO2	ENSG00000047617	R-HSA-1643685;R-HSA-381753;R-HSA-2672351	Disease;Olfactory Signaling Pathway;Stimuli-sensing channels	3
ANO3	ENSG00000134343	R-HSA-1643685;R-HSA-2672351	Disease;Stimuli-sensing channels	5
ANO5	ENSG00000171714	R-HSA-1643685;R-HSA-2672351	Disease;Stimuli-sensing channels	2
ANO7	ENSG00000146205	R-HSA-1643685;R-HSA-2672351	Disease;Stimuli-sensing channels	3
ANO8	ENSG00000074855	R-HSA-1643685;R-HSA-2672351;R-HSA-597592	Disease;Stimuli-sensing channels;Post-translational protein modification	1
ANPEP	ENSG00000166825	R-HSA-168256;R-HSA-2022377	Immune System;Metabolism of Angiotensinogen to Angiotensins	4
ANTXR1	ENSG00000169604	R-HSA-1643685	Disease	9
ANTXR2	ENSG00000163297	R-HSA-1643685	Disease	2
ANXA1	ENSG00000135046	R-HSA-162582;R-HSA-1280215;R-HSA-168256;R-HSA-449147;R-HSA-6785807	Signal Transduction;Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins;Interleukin-4 and Interleukin-13 signaling	1
ANXA2	ENSG00000182718	R-HSA-1280215;R-HSA-168256;R-HSA-449147	Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins	1
AOC1	ENSG00000002726	R-HSA-168256	Immune System	6
AP1B1	ENSG00000100280	R-HSA-168256;R-HSA-1643685	Immune System;Disease	1
AP1G1	ENSG00000166747	R-HSA-168256;R-HSA-1643685;R-HSA-432720	Immune System;Disease;Lysosome Vesicle Biogenesis	2
AP1S1	ENSG00000106367	R-HSA-168256;R-HSA-1643685;R-HSA-432720	Immune System;Disease;Lysosome Vesicle Biogenesis	1
AP1S3	ENSG00000152056	R-HSA-168256;R-HSA-1643685;R-HSA-432720	Immune System;Disease;Lysosome Vesicle Biogenesis	5
AP2A2	ENSG00000183020	R-HSA-162582;R-HSA-168256;R-HSA-1266738;R-HSA-1643685;R-HSA-5099900;R-HSA-437239;R-HSA-3928665;R-HSA-9006934	Signal Transduction;Immune System;Developmental Biology;Disease;WNT5A-dependent internalization of FZD4;Recycling pathway of L1;EPH-ephrin mediated repulsion of cells;Signaling by Receptor Tyrosine Kinases	1
AP3B1	ENSG00000132842	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	2
AP4B1	ENSG00000134262	R-HSA-432720	Lysosome Vesicle Biogenesis	10
AP4E1	ENSG00000081014	R-HSA-432720	Lysosome Vesicle Biogenesis	3
APAF1	ENSG00000120868	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription)	8
APEH	ENSG00000164062	R-HSA-168256;R-HSA-72766	Immune System;Translation	2
APH1B	ENSG00000138613	R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-3928665;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Developmental Biology;Disease;EPH-ephrin mediated repulsion of cells;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	3
APIP	ENSG00000149089	R-HSA-111461	Cytochrome c-mediated apoptotic response	1
APOA1	ENSG00000118137	R-HSA-1643685;R-HSA-8964058;R-HSA-8963899;R-HSA-597592	Disease;HDL remodeling;Plasma lipoprotein remodeling;Post-translational protein modification	3
APOA4	ENSG00000110244	R-HSA-8963888;R-HSA-8963901;R-HSA-8963899	Chylomicron assembly;Chylomicron remodeling;Plasma lipoprotein remodeling	3
APOA5	ENSG00000110243	R-HSA-8963901;R-HSA-8963899;R-HSA-597592	Chylomicron remodeling;Plasma lipoprotein remodeling;Post-translational protein modification	24
APOB	ENSG00000084674	R-HSA-168256;R-HSA-8963888;R-HSA-8963901;R-HSA-8963899;R-HSA-597592	Immune System;Chylomicron assembly;Chylomicron remodeling;Plasma lipoprotein remodeling;Post-translational protein modification	17
APOC1	ENSG00000130208	R-HSA-162582	Signal Transduction	20
APOC3	ENSG00000110245	R-HSA-8963888;R-HSA-8963901;R-HSA-8964058;R-HSA-8963899	Chylomicron assembly;Chylomicron remodeling;HDL remodeling;Plasma lipoprotein remodeling	2
APOC4	ENSG00000267467	R-HSA-162582	Signal Transduction	1
APOE	ENSG00000130203	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9006934;R-HSA-8963888;R-HSA-8963901;R-HSA-8964058;R-HSA-8963899;R-HSA-597592	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Signaling by Receptor Tyrosine Kinases;Chylomicron assembly;Chylomicron remodeling;HDL remodeling;Plasma lipoprotein remodeling;Post-translational protein modification	107
