Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Formation of the nephric duct	R-HSA-9830364	0.8372691875240844	2.5866723262111133	0.009690769923786036	0.9999886211962641	0.28811824268866204	12	ENSG00000143867,ENSG00000085276,ENSG00000168036,ENSG00000125618,ENSG00000172201,ENSG00000107485	ENSG00000165731,ENSG00000101443,ENSG00000182742,ENSG00000273706,ENSG00000172201,ENSG00000125618,ENSG00000125378,ENSG00000085276,ENSG00000145287,ENSG00000170370,ENSG00000107485,ENSG00000168743,ENSG00000165194,ENSG00000143867,ENSG00000106006,ENSG00000168036,ENSG00000075891
Phosphorylation of CD3 and TCR zeta chains	R-HSA-202427	0.9213372385860487	2.5522824178258015	0.010701973070816662	0.99999655308902	0.28811824268866204	6	ENSG00000134242,ENSG00000081237,ENSG00000149177	ENSG00000010610,ENSG00000227357,ENSG00000149177,ENSG00000103653,ENSG00000198502,ENSG00000223865,ENSG00000076641,ENSG00000231389,ENSG00000232629,ENSG00000134242,ENSG00000160654,ENSG00000081237,ENSG00000211790,ENSG00000182866,ENSG00000204287,ENSG00000278030,ENSG00000167286,ENSG00000198821,ENSG00000196735,ENSG00000211810,ENSG00000196126,ENSG00000231679,ENSG00000237541,ENSG00000198851,ENSG00000211799
Mitochondrial calcium ion transport	R-HSA-8949215	-0.6376977434512171	-2.5424325960270604	0.01100838315365782	0.9999976002749982	0.28811824268866204	8	ENSG00000100678,ENSG00000213585,ENSG00000165487,ENSG00000156026,ENSG00000121057,ENSG00000089060,ENSG00000078668	ENSG00000107745,ENSG00000168924,ENSG00000165637,ENSG00000100678,ENSG00000165487,ENSG00000213585,ENSG00000121057,ENSG00000156026,ENSG00000089060,ENSG00000155970,ENSG00000078668,ENSG00000005059
FOXO-mediated transcription of cell cycle genes	R-HSA-9617828	0.8270770834009975	2.5393488185462116	0.011105903261926287	0.9999978615558702	0.28811824268866204	13	ENSG00000124762,ENSG00000136826,ENSG00000166949,ENSG00000150907	ENSG00000150907,ENSG00000175387,ENSG00000116717,ENSG00000090097,ENSG00000111276,ENSG00000166949,ENSG00000103479,ENSG00000124762,ENSG00000136826,ENSG00000176165,ENSG00000184481,ENSG00000133639,ENSG00000105974,ENSG00000118689,ENSG00000138764,ENSG00000141646
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	R-HSA-2559584	0.9166799196888762	2.5355369367533545	0.011227508739759307	0.9999981479069666	0.28811824268866204	6	ENSG00000124762,ENSG00000141510	ENSG00000100084,ENSG00000124762,ENSG00000168298,ENSG00000124610,ENSG00000189060,ENSG00000111875,ENSG00000124575,ENSG00000139687,ENSG00000118900,ENSG00000149948,ENSG00000099991,ENSG00000184357,ENSG00000183495,ENSG00000187837,ENSG00000141510,ENSG00000113368
Scavenging by Class A Receptors	R-HSA-3000480	0.8491307964594987	2.521003722776632	0.0117020614028287	0.9999989433215835	0.28811824268866204	11	ENSG00000187498,ENSG00000130203,ENSG00000134871	ENSG00000108821,ENSG00000019169,ENSG00000087086,ENSG00000167996,ENSG00000127241,ENSG00000168079,ENSG00000084674,ENSG00000166598,ENSG00000168542,ENSG00000164692,ENSG00000179218,ENSG00000164265,ENSG00000118004,ENSG00000130203,ENSG00000038945,ENSG00000158270,ENSG00000134871,ENSG00000187498
Interleukin-37 signaling	R-HSA-9008059	0.81985569702642	2.5160614014674	0.011867450581052541	0.9999991310895134	0.28811824268866204	12	ENSG00000175354,ENSG00000179295,ENSG00000166949,ENSG00000115604	ENSG00000166949,ENSG00000127947,ENSG00000163629,ENSG00000179295,ENSG00000125571,ENSG00000110786,ENSG00000183735,ENSG00000169410,ENSG00000088179,ENSG00000137496,ENSG00000185187,ENSG00000111679,ENSG00000168610,ENSG00000115604,ENSG00000137752,ENSG00000204179,ENSG00000072135,ENSG00000143851,ENSG00000175354,ENSG00000152104
alpha-linolenic acid (ALA) metabolism	R-HSA-2046106	0.8516316303699796	2.51559220814881	0.011883258820956755	0.9999991471887986	0.28811824268866204	5	ENSG00000134824	ENSG00000119915,ENSG00000101986,ENSG00000161533,ENSG00000151726,ENSG00000101473,ENSG00000012660,ENSG00000134824,ENSG00000116171,ENSG00000149485,ENSG00000066322,ENSG00000197977,ENSG00000060971
Transcriptional regulation by RUNX2	R-HSA-8878166	0.873694465017978	2.5124288710194147	0.011990327359014064	0.9999992486564745	0.28811824268866204	10	ENSG00000125845,ENSG00000124762,ENSG00000125398,ENSG00000122691	ENSG00000094631,ENSG00000170836,ENSG00000125398,ENSG00000067955,ENSG00000122691,ENSG00000087088,ENSG00000124813,ENSG00000135446,ENSG00000124762,ENSG00000110092,ENSG00000125845,ENSG00000233608,ENSG00000170312,ENSG00000134057
Cyclin D associated events in G1	R-HSA-69231	0.7805756744495376	2.5081093015005744	0.01213791148429344	0.9999993690476532	0.28811824268866204	29	ENSG00000147883,ENSG00000147889,ENSG00000124762,ENSG00000110092,ENSG00000096968,ENSG00000105810,ENSG00000118971	ENSG00000221914,ENSG00000170315,ENSG00000020426,ENSG00000123374,ENSG00000145604,ENSG00000175305,ENSG00000134480,ENSG00000292327,ENSG00000103479,ENSG00000080839,ENSG00000124762,ENSG00000105810,ENSG00000173207,ENSG00000198176,ENSG00000101213,ENSG00000112576,ENSG00000221983,ENSG00000133740,ENSG00000139687,ENSG00000105173,ENSG00000147889,ENSG00000143947,ENSG00000118971,ENSG00000007968,ENSG00000105568,ENSG00000197122,ENSG00000096968,ENSG00000111276,ENSG00000134058,ENSG00000129757,ENSG00000113558,ENSG00000135446,ENSG00000110092,ENSG00000104695,ENSG00000167393,ENSG00000147883,ENSG00000055130,ENSG00000137713,ENSG00000097007,ENSG00000114126,ENSG00000113575,ENSG00000254087,ENSG00000150991,ENSG00000123080,ENSG00000129355,ENSG00000112242,ENSG00000101412
Factors involved in megakaryocyte development and platelet production	R-HSA-983231	0.6943230009762209	2.499572363777445	0.012434330139994065	0.9999995557414706	0.28811824268866204	52	ENSG00000125347,ENSG00000160999,ENSG00000185022,ENSG00000111252,ENSG00000141510,ENSG00000077549,ENSG00000079691,ENSG00000100605,ENSG00000096968,ENSG00000169946,ENSG00000182185,ENSG00000171988,ENSG00000244734,ENSG00000070831,ENSG00000179588,ENSG00000107485	ENSG00000286522,ENSG00000164885,ENSG00000005249,ENSG00000100605,ENSG00000013016,ENSG00000135596,ENSG00000244734,ENSG00000196591,ENSG00000108946,ENSG00000147885,ENSG00000108599,ENSG00000171855,ENSG00000123405,ENSG00000088387,ENSG00000198517,ENSG00000213931,ENSG00000079691,ENSG00000137080,ENSG00000274750,ENSG00000197409,ENSG00000141510,ENSG00000072062,ENSG00000149679,ENSG00000088538,ENSG00000096968,ENSG00000064961,ENSG00000136238,ENSG00000165059,ENSG00000182185,ENSG00000136631,ENSG00000121057,ENSG00000130700,ENSG00000111252,ENSG00000166483,ENSG00000135365,ENSG00000135905,ENSG00000134508,ENSG00000171109,ENSG00000147459,ENSG00000147251,ENSG00000278828,ENSG00000160999,ENSG00000168310,ENSG00000130158,ENSG00000116478,ENSG00000163041,ENSG00000102145,ENSG00000236637,ENSG00000203852,ENSG00000116688,ENSG00000142875,ENSG00000134516,ENSG00000024422,ENSG00000185022,ENSG00000123374,ENSG00000150760,ENSG00000197063,ENSG00000234829,ENSG00000108384,ENSG00000120235,ENSG00000178188,ENSG00000107099,ENSG00000188191,ENSG00000089902,ENSG00000197919,ENSG00000197153,ENSG00000171988,ENSG00000125347,ENSG00000004487,ENSG00000110047,ENSG00000144566,ENSG00000223609,ENSG00000132475,ENSG00000116641,ENSG00000141448,ENSG00000131381,ENSG00000228083,ENSG00000287080,ENSG00000147873,ENSG00000233816,ENSG00000179588,ENSG00000277775,ENSG00000275714,ENSG00000136574,ENSG00000075624,ENSG00000070831,ENSG00000120242,ENSG00000169946,ENSG00000116489,ENSG00000213934,ENSG00000186803,ENSG00000147853,ENSG00000198898,ENSG00000183598,ENSG00000094916,ENSG00000196565,ENSG00000114302,ENSG00000097007,ENSG00000077549,ENSG00000128512,ENSG00000214042,ENSG00000107485,ENSG00000275379,ENSG00000179348,ENSG00000203811,ENSG00000273983,ENSG00000169375,ENSG00000188379
GABA receptor activation	R-HSA-977443	-0.6543060756130736	-2.497018184149526	0.012524253414413433	0.9999996006021835	0.28811824268866204	6	ENSG00000145864,ENSG00000113327,ENSG00000022355,ENSG00000163288,ENSG00000156642,ENSG00000151834	ENSG00000145863,ENSG00000011677,ENSG00000151834,ENSG00000145864,ENSG00000166206,ENSG00000022355,ENSG00000183185,ENSG00000111886,ENSG00000146276,ENSG00000182256,ENSG00000156642,ENSG00000131089,ENSG00000268089,ENSG00000113327,ENSG00000186297,ENSG00000163288
GLI proteins bind promoters of Hh responsive genes to promote transcription	R-HSA-5635851	0.845598295279697	2.4923097492383253	0.012691530253682082	0.9999996723603367	0.28811824268866204	5	ENSG00000185920,ENSG00000164161	ENSG00000185920,ENSG00000164161,ENSG00000106571,ENSG00000117425,ENSG00000144857,ENSG00000074047
Repression of WNT target genes	R-HSA-4641265	0.8675340942310633	2.4889546070581248	0.012811932259407133	0.9999997158942625	0.28811824268866204	10	ENSG00000138795,ENSG00000136997,ENSG00000081059,ENSG00000148737	ENSG00000196781,ENSG00000152284,ENSG00000175029,ENSG00000138795,ENSG00000148737,ENSG00000104964,ENSG00000136997,ENSG00000065717,ENSG00000159692,ENSG00000081059,ENSG00000116478,ENSG00000140332,ENSG00000168646
MAPK1 (ERK2) activation	R-HSA-112411	0.9000838033519083	2.4755266135370033	0.013303984591486406	0.9999998413775482	0.28811824268866204	6	ENSG00000179295,ENSG00000105397,ENSG00000160712	ENSG00000136244,ENSG00000160712,ENSG00000126934,ENSG00000179295,ENSG00000162434,ENSG00000100030,ENSG00000134352,ENSG00000105397
Retinoid metabolism and transport	R-HSA-975634	0.7953908859764091	2.4549364055830125	0.01409095137140337	0.9999999375861962	0.28811824268866204	20	ENSG00000123384,ENSG00000175445,ENSG00000130203,ENSG00000130164	ENSG00000063660,ENSG00000081479,ENSG00000196139,ENSG00000163803,ENSG00000084674,ENSG00000179399,ENSG00000213420,ENSG00000175535,ENSG00000142798,ENSG00000204444,ENSG00000114113,ENSG00000198610,ENSG00000187134,ENSG00000197580,ENSG00000130203,ENSG00000110245,ENSG00000042445,ENSG00000147257,ENSG00000118271,ENSG00000135697,ENSG00000162512,ENSG00000123384,ENSG00000076716,ENSG00000188157,ENSG00000115884,ENSG00000277494,ENSG00000072042,ENSG00000197324,ENSG00000234906,ENSG00000138207,ENSG00000110244,ENSG00000183098,ENSG00000147650,ENSG00000198074,ENSG00000175445,ENSG00000137392,ENSG00000157193,ENSG00000169439,ENSG00000124145,ENSG00000130164,ENSG00000114115,ENSG00000158874,ENSG00000118137
RNA Polymerase III Transcription Initiation From Type 3 Promoter	R-HSA-76071	-0.6228456827167927	-2.453774182155432	0.014136572418685267	0.999999940872745	0.28811824268866204	8	ENSG00000161980,ENSG00000166478,ENSG00000143190,ENSG00000104976,ENSG00000100142	ENSG00000023608,ENSG00000164975,ENSG00000058600,ENSG00000104976,ENSG00000100413,ENSG00000186141,ENSG00000100142,ENSG00000143190,ENSG00000241258,ENSG00000186184,ENSG00000112592,ENSG00000148606,ENSG00000145734,ENSG00000104221,ENSG00000166478,ENSG00000174446,ENSG00000147669,ENSG00000165684,ENSG00000163882,ENSG00000099817,ENSG00000168495,ENSG00000132664,ENSG00000171453,ENSG00000177700,ENSG00000161980,ENSG00000121851,ENSG00000113356
Downregulation of TGF-beta receptor signaling	R-HSA-2173788	0.8086780935765024	2.45184745817176	0.014212489779074078	0.9999999459630241	0.28811824268866204	15	ENSG00000166949,ENSG00000101665	ENSG00000175387,ENSG00000105329,ENSG00000170315,ENSG00000166949,ENSG00000157077,ENSG00000049759,ENSG00000106799,ENSG00000198742,ENSG00000108854,ENSG00000172531,ENSG00000023734,ENSG00000116750,ENSG00000082898,ENSG00000087074,ENSG00000221983,ENSG00000213639,ENSG00000124225,ENSG00000150991,ENSG00000108389,ENSG00000143947,ENSG00000163513,ENSG00000095739,ENSG00000186298,ENSG00000101665,ENSG00000103266
Nuclear signaling by ERBB4	R-HSA-1251985	0.7944978452802127	2.451139905926232	0.014240459138012973	0.9999999477259274	0.28811824268866204	20	ENSG00000130203,ENSG00000178568,ENSG00000091831	ENSG00000123933,ENSG00000157168,ENSG00000138613,ENSG00000151694,ENSG00000143801,ENSG00000158458,ENSG00000105963,ENSG00000185737,ENSG00000131095,ENSG00000186153,ENSG00000130203,ENSG00000080815,ENSG00000117362,ENSG00000160307,ENSG00000107562,ENSG00000169752,ENSG00000137693,ENSG00000197122,ENSG00000091831,ENSG00000205155,ENSG00000135222,ENSG00000141027,ENSG00000174808,ENSG00000055208,ENSG00000178568,ENSG00000162736,ENSG00000117632,ENSG00000126561,ENSG00000113070,ENSG00000113140,ENSG00000082175
Interleukin-21 signaling	R-HSA-9020958	0.8932801449582342	2.450770893011766	0.014255065382365428	0.9999999486235954	0.28811824268866204	6	ENSG00000103522,ENSG00000138378,ENSG00000138684	ENSG00000138684,ENSG00000147168,ENSG00000138378,ENSG00000115415,ENSG00000173757,ENSG00000162434,ENSG00000168610,ENSG00000105639,ENSG00000103522
Assembly of active LPL and LIPC lipase complexes	R-HSA-8963889	0.8302967529783086	2.4465894485368564	0.01442150074666948	0.9999999578267644	0.28811824268866204	11	ENSG00000175445,ENSG00000167772,ENSG00000140564,ENSG00000166035,ENSG00000110243	ENSG00000167772,ENSG00000100258,ENSG00000140564,ENSG00000105550,ENSG00000012174,ENSG00000099139,ENSG00000277494,ENSG00000132855,ENSG00000140943,ENSG00000140479,ENSG00000060566,ENSG00000234906,ENSG00000166035,ENSG00000110244,ENSG00000175445,ENSG00000130173,ENSG00000110243,ENSG00000103227
Defensins	R-HSA-1461973	-0.5735244172956993	-2.4425746520756126	0.014582913249777896	0.9999999651756147	0.28811824268866204	12	ENSG00000164821,ENSG00000232948,ENSG00000239839,ENSG00000186146,ENSG00000205882,ENSG00000180872,ENSG00000164816,ENSG00000164825,ENSG00000184276,ENSG00000204548,ENSG00000206047	ENSG00000215545,ENSG00000176797,ENSG00000164825,ENSG00000240247,ENSG00000203970,ENSG00000164816,ENSG00000214643,ENSG00000125903,ENSG00000205884,ENSG00000186562,ENSG00000184276,ENSG00000233050,ENSG00000176782,ENSG00000214642,ENSG00000088782,ENSG00000180383,ENSG00000205883,ENSG00000206047,ENSG00000186579,ENSG00000180872,ENSG00000131068,ENSG00000180424,ENSG00000186146,ENSG00000198129,ENSG00000186572,ENSG00000187082,ENSG00000186599,ENSG00000186458,ENSG00000232948,ENSG00000177023,ENSG00000239839,ENSG00000178591,ENSG00000177257,ENSG00000185982,ENSG00000125788,ENSG00000164822,ENSG00000215547,ENSG00000180483,ENSG00000205882,ENSG00000164821,ENSG00000177243,ENSG00000204548,ENSG00000171711
Formation of axial mesoderm	R-HSA-9796292	0.9070347840257004	2.4416171828684656	0.014621642152544245	0.9999999667394212	0.28811824268866204	8	ENSG00000138795,ENSG00000125798,ENSG00000166949,ENSG00000168036	ENSG00000175387,ENSG00000166949,ENSG00000214513,ENSG00000164458,ENSG00000160973,ENSG00000197905,ENSG00000138795,ENSG00000164690,ENSG00000081059,ENSG00000074219,ENSG00000168036,ENSG00000137693,ENSG00000125798
Organic cation transport	R-HSA-549127	0.8896001932600381	2.437343383998996	0.014795621876675602	0.9999999729427647	0.28811824268866204	6	ENSG00000197375,ENSG00000159216,ENSG00000175003,ENSG00000197208,ENSG00000146477	ENSG00000163393,ENSG00000159216,ENSG00000004809,ENSG00000197208,ENSG00000175003,ENSG00000146477,ENSG00000197375,ENSG00000215695,ENSG00000112499
Oncogene Induced Senescence	R-HSA-2559585	0.7869803970207447	2.437006381776018	0.014809417998046026	0.9999999733820856	0.28811824268866204	22	ENSG00000147883,ENSG00000147889,ENSG00000141510,ENSG00000134954,ENSG00000198625,ENSG00000157557,ENSG00000105810	ENSG00000170315,ENSG00000105722,ENSG00000105810,ENSG00000100030,ENSG00000157557,ENSG00000198176,ENSG00000134954,ENSG00000100354,ENSG00000221983,ENSG00000139687,ENSG00000092847,ENSG00000147889,ENSG00000143947,ENSG00000141510,ENSG00000135679,ENSG00000007968,ENSG00000198625,ENSG00000102882,ENSG00000135446,ENSG00000284459,ENSG00000134698,ENSG00000284387,ENSG00000147883,ENSG00000090905,ENSG00000125968,ENSG00000155363,ENSG00000114126,ENSG00000150991,ENSG00000126070,ENSG00000123080,ENSG00000129355,ENSG00000078687,ENSG00000112242,ENSG00000101412
"""PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"	R-HSA-6811558	0.621649146233161	2.435490791489932	0.014871603121701327	0.9999999752754919	0.28811824268866204	82	ENSG00000163235,ENSG00000254647,ENSG00000068078,ENSG00000100311,ENSG00000137033,ENSG00000091831,ENSG00000138675,ENSG00000169047,ENSG00000140009,ENSG00000171105,ENSG00000178568,ENSG00000102882,ENSG00000176697,ENSG00000115602,ENSG00000178562,ENSG00000157168,ENSG00000070193,ENSG00000145675,ENSG00000115808,ENSG00000105976,ENSG00000150867,ENSG00000140285,ENSG00000066468,ENSG00000179295	"ENSG00000033327,ENSG00000225950,ENSG00000157168,ENSG00000162344,ENSG00000078304,ENSG00000065361,ENSG00000150867,ENSG00000169047,ENSG00000177105,ENSG00000276231,ENSG00000178562,ENSG00000158458,ENSG00000182585,ENSG00000197461,ENSG00000128340,ENSG00000182866,ENSG00000115808,ENSG00000185737,ENSG00000160867,ENSG00000148053,ENSG00000118972,ENSG00000142208,ENSG00000169752,ENSG00000070193,ENSG00000100311,ENSG00000078579,ENSG00000105568,ENSG00000176697,ENSG00000136238,ENSG00000091831,ENSG00000070388,ENSG00000177885,ENSG00000068971,ENSG00000090554,ENSG00000109458,ENSG00000121594,ENSG00000178568,ENSG00000105976,ENSG00000185652,ENSG00000105851,ENSG00000115602,ENSG00000134853,ENSG00000145675,ENSG00000137713,ENSG00000107831,ENSG00000137331,ENSG00000163235,ENSG00000198001,ENSG00000077782,ENSG00000113070,ENSG00000113575,ENSG00000121879,ENSG00000186895,ENSG00000141736,ENSG00000185950,ENSG00000154001,ENSG00000124882,ENSG00000049130,ENSG00000138685,ENSG00000105647,ENSG00000134962,ENSG00000051382,ENSG00000179295,ENSG00000138675,ENSG00000113721,ENSG00000100030,ENSG00000166908,ENSG00000171608,ENSG00000113578,ENSG00000140538,ENSG00000141506,ENSG00000102678,ENSG00000141968,ENSG00000140285,ENSG00000111241,ENSG00000276293,ENSG00000122025,ENSG00000107242,ENSG00000166225,ENSG00000197122,ENSG00000109321,ENSG00000138798,ENSG00000184216,ENSG00000172936,ENSG00000066468,ENSG00000140009,ENSG00000068078,ENSG00000174808,ENSG00000102882,ENSG00000104695,ENSG00000158815,ENSG00000075388,ENSG00000157404,ENSG00000117461,ENSG00000143398,ENSG00000163600,ENSG00000177455,ENSG00000066027,ENSG00000163519,ENSG00000175104,ENSG00000112640,ENSG00000114013,ENSG00000186111,ENSG00000146648,ENSG00000010810,ENSG00000254647,ENSG00000196083,ENSG00000196468,ENSG00000155629,ENSG00000156427,ENSG00000171105,ENSG00000137033,ENSG00000133116"""
